GeneID,GSM3024820,GSM3024822,GSM3024824,GSM3024826,GSM3024828,GSM3024830,GSM3024832,GSM3024834,GSM3024836,GSM3024838,GSM3024840,GSM3024842,GSM3024844,GSM3024846,GSM3024848,GSM3024850,GSM3024852,GSM3024854,GSM3024856,GSM3024858,GSM3024860,GSM3024863
92714,1.061,3.094,3.968,0,0.6234,4.819,0.9643,0.548,1.798,3.907,6.663,0.004768,3.207,2.915,0.1719,4.499,7.578,0,1.076,4.052,5.586,5.138
85026,0.9369,0,2.034,0.04767,0.6495,4.973,21.98,0.6162,1.87,4.07,5.452,14.93,1.918,2.051,0,3.275,0,0.01941,0,1.939,8.233,13
79813,3.263,13.02,11.34,6.919,5.197,10.94,11.24,6.733,7.468,13.29,10.45,4.162,10.21,11.19,9.084,3.221,3.767,9.503,11.47,8.81,15.47,17.94
651337,0,0,0.03512,0,0.0542,0.04122,0.1175,0,0.02531,0.196,0.1443,0,0.1372,0.1283,0.8044,0.03036,0,0,0,0.1117,0.08587,0.1087
693187,0,6.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7726,1.141
100133077,0,0,0.006728,0.04572,1.765,0.01579,0.08443,0.08865,0.00606,0,0,0,0.01314,0,2.457,0.2326,4.503,6.487,0,0,0.04112,0
774,4.47,4.483,0.684,0,11.08,0.5742,3.26,2.1,0.2951,0.4456,4.763,3.911,0.2594,0.676,11.74,5.32,6.773,2.134,1.853,0.1016,0.868,1.599
105376331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928786,0.2011,0,0.1001,0.1093,0.7725,0.1007,0,0,0,0,0,0.1507,0,0.056,0.3104,0.7418,0,0,0,0.008749,0,0.4429
643224,53.95,5.042,0.5541,0,36.69,2.955,29.52,4.519,0.2863,0.03446,4.855,0.008175,2.188,0.631,18.34,36.07,55.39,56.81,78.79,0.947,0.6404,2.061
101928932,0.7436,0.5268,0,0,0,0,0.885,0,0,0,0,0,0,0,0,0.5627,0,0,0,0,0,0.08398
107987145,5.939,12.16,0,0,7.343,1.14,28.6,0,0,0,0,0,0,0,39.71,14.44,8.095,0,46.65,0,0.7124,4.31
100132403,24.98,1.204,7.126,0.00998,18.13,4.626,8.061,10.6,1.481,2.166,5.752,0.005893,2.008,0.5724,10.27,6.83,11.83,0.325,2.419,0.6755,1.631,3.577
112267861,0,0,0,0,0,0,0,0,0,0.01027,0,0,0.04743,0.01057,0.01464,0,0,0,0,0.01486,0.0106,0
